Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U2L2,U0L1,U0L2,U0L4,U1L3,U1L1,U2L1,U2L3,U3L1,U3L2
0.2878,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2880000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.28819999999999996,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.28840000000000005,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2886000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2888000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2890000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.28920000000000007,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.28940000000000005,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2896,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.28980000000000006,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29000000000000004,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2902,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2904,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2906,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2908,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.291,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29119999999999996,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29139999999999994,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29159999999999997,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29179999999999995,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.292,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
